Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
VBL,463.35,4348073,29.46,60.55,35.26,41.07,47.27,58.53,Trending,Volatile,47.04,440.18,486.52,426.28,500.42,False
MARICO,844.0,1575899,17.49,45.12,19.49,65.01,75.58,32.35,Sideways,Stable,62.7,801.8,886.2,776.48,911.52,True
INDUSTOWER,403.5,3065022,12.33,61.72,28.39,75.34,41.4,47.12,Sideways,Volatile,56.12,383.32,423.68,371.22,435.78,False
COALINDIA,427.65,5363624,21.0,60.24,17.66,57.99,48.8,29.32,Sideways,Volatile,48.58,406.27,449.03,393.44,461.86,False
BANKINDIA,143.17,13068497,17.8,53.42,23.32,64.4,82.88,38.71,Sideways,Stable,66.65,136.01,150.33,131.72,154.62,True
ASHOKLEY,155.23,9115147,37.39,38.19,33.44,25.21,40.97,55.51,Trending,Volatile,37.58,147.47,162.99,142.81,167.65,False
CANBK,125.01,44159205,21.08,44.61,18.96,57.84,73.04,31.47,Sideways,Stable,58.64,118.76,131.26,115.01,135.01,True
MAHABANK,79.9,13436452,8.83,49.43,26.19,82.34,97.15,43.48,Sideways,Stable,80.49,75.9,83.9,73.51,86.29,True
SUZLON,51.99,51555144,51.59,67.1,40.94,0.0,14.51,67.96,Trending,Volatile,19.4,49.39,54.59,47.83,56.15,False
NIFTYBEES,276.46,5182257,32.52,56.02,7.28,34.97,69.89,12.08,Trending,Stable,44.36,262.64,290.28,254.34,298.58,False
ICICIPRULI,497.15,1139231,22.57,45.95,14.58,54.86,79.73,24.21,Sideways,Stable,58.68,472.29,522.01,457.38,536.92,True
INDHOTEL,727.9,1821379,32.0,48.91,13.39,36.01,94.55,22.22,Trending,Stable,56.67,691.5,764.3,669.67,786.13,False
PATANJALI,337.7,6763591,22.26,36.07,21.2,55.48,30.37,35.19,Sideways,Volatile,41.38,320.82,354.58,310.68,364.72,False
QUADFUTURE,405.0,181180,11.73,56.89,47.42,76.54,65.53,78.72,Sideways,Stable,72.57,384.75,425.25,372.6,437.4,True
SETL,281.1,486073,44.32,39.65,40.42,11.36,48.26,67.09,Trending,Volatile,37.26,267.04,295.16,258.61,303.59,False
DELHIVERY,492.15,7146053,30.19,66.12,26.84,39.63,19.42,44.56,Trending,Volatile,32.53,467.54,516.76,452.78,531.52,False
BIOCON,437.2,3615759,58.2,65.77,17.37,0.0,21.17,28.84,Trending,Volatile,14.24,415.34,459.06,402.22,472.18,False
SBICARD,654.7,1836012,17.49,55.3,24.34,65.03,73.5,40.4,Sideways,Stable,63.49,621.96,687.44,602.32,707.08,True
MOTHERSON,144.17,9919421,40.96,33.57,36.29,18.07,17.84,60.23,Trending,Volatile,26.41,136.96,151.38,132.64,155.7,False
ANANTRAJ,592.1,3798674,12.22,43.35,31.09,75.55,66.73,51.61,Sideways,Stable,67.24,562.5,621.71,544.73,639.47,True
MOBIKWIK,216.77,591941,38.33,61.45,39.14,23.35,42.75,64.97,Trending,Volatile,39.43,205.93,227.61,199.43,234.11,False
GMRAIRPORT,110.54,26130679,48.59,69.08,17.54,2.83,4.61,29.11,Trending,Volatile,8.8,105.01,116.07,101.7,119.38,False
NATIONALUM,339.9,6171072,23.5,37.3,48.58,53.0,36.5,80.64,Sideways,Volatile,51.93,322.9,356.9,312.71,367.09,False
WELSPUNLIV,164.4,759706,27.31,43.02,34.73,45.37,65.08,57.65,Trending,Stable,55.71,156.18,172.62,151.25,177.55,False
ABCAPITAL,401.55,2087546,17.44,50.14,30.93,65.12,99.32,51.34,Sideways,Stable,76.04,381.47,421.63,369.43,433.67,True
ZENSARTECH,518.15,3048065,51.5,57.36,30.9,0.0,63.22,51.29,Trending,Stable,35.55,492.24,544.06,476.7,559.6,False
BANKBARODA,246.8,15040259,24.91,52.33,21.95,50.17,88.33,36.44,Sideways,Stable,62.69,234.46,259.14,227.06,266.54,True
AHCL,14.73,2505634,10.44,40.76,43.16,79.11,53.8,71.64,Sideways,Stable,67.5,13.99,15.47,13.55,15.91,True
LTF,310.05,6797847,16.08,51.24,25.12,67.84,93.82,41.69,Sideways,Stable,73.0,294.55,325.55,285.25,334.85,True
TATAPOWER,377.25,4957842,33.32,50.96,13.12,33.37,95.19,21.78,Trending,Stable,55.78,358.39,396.11,347.07,407.43,False
